provinciecode;provincienaam;gemeentecode;gemeentenaam;begindatum;einddatum
30;Noord-Brabant;824;Oisterwijk;1970-01-01;
30;Noord-Brabant;825;Middelbeers;1970-01-01;1997-01-01
30;Noord-Brabant;826;Oosterhout;1970-01-01;
30;Noord-Brabant;827;Oploo c.a.;1970-01-01;1994-01-01
30;Noord-Brabant;828;Oss;1970-01-01;
30;Noord-Brabant;829;Ossendrecht;1970-01-01;1997-01-01
30;Noord-Brabant;830;Oudenbosch;1970-01-01;1997-01-01
30;Noord-Brabant;831;Oud en Nieuw Gastel;1970-01-01;1997-01-01
30;Noord-Brabant;832;Prinsenbeek;1970-01-01;1997-01-01
30;Noord-Brabant;833;Putte;1970-01-01;1997-01-01
30;Noord-Brabant;834;Raamsdonk;1970-01-01;1997-01-01
30;Noord-Brabant;835;Ravenstein;1970-01-01;2003-01-01
30;Noord-Brabant;836;Reusel;1970-01-01;1997-01-01
30;Noord-Brabant;837;Riethoven;1970-01-01;1997-01-01
30;Noord-Brabant;838;Roosendaal en Nispen;1970-01-01;1997-01-01
30;Noord-Brabant;839;Rosmalen;1970-01-01;1996-01-01
30;Noord-Brabant;840;Rucphen;1970-01-01;
30;Noord-Brabant;841;Rijsbergen;1970-01-01;1997-01-01
30;Noord-Brabant;843;Schaijk;1970-01-01;1994-01-01
30;Noord-Brabant;844;Schijndel;1970-01-01;2017-01-01
30;Noord-Brabant;845;Sint-Michielsgestel;1970-01-01;
30;Noord-Brabant;846;Sint-Oedenrode;1970-01-01;2017-01-01
30;Noord-Brabant;847;Someren;1970-01-01;
30;Noord-Brabant;848;Son en Breugel;1970-01-01;
30;Noord-Brabant;849;Sprang-Capelle;1970-01-01;1997-01-01
30;Noord-Brabant;850;Standdaarbuiten;1970-01-01;1997-01-01
30;Noord-Brabant;851;Steenbergen;1970-01-01;
30;Noord-Brabant;853;Terheijden;1970-01-01;1997-01-01
30;Noord-Brabant;854;Teteringen;1970-01-01;1997-01-01
30;Noord-Brabant;855;Tilburg;1970-01-01;
30;Noord-Brabant;856;Uden;1970-01-01;
30;Noord-Brabant;857;Udenhout;1970-01-01;1997-01-01
30;Noord-Brabant;858;Valkenswaard;1970-01-01;
30;Noord-Brabant;860;Veghel;1970-01-01;2017-01-01
30;Noord-Brabant;861;Veldhoven;1970-01-01;
30;Noord-Brabant;862;Vessem, Wintelre en Knegse;1970-01-01;1997-01-01
30;Noord-Brabant;863;Vierlingsbeek;1970-01-01;1998-01-01
30;Noord-Brabant;864;Vlijmen;1970-01-01;1997-01-01
30;Noord-Brabant;865;Vught;1970-01-01;
30;Noord-Brabant;866;Waalre;1970-01-01;
30;Noord-Brabant;867;Waalwijk;1970-01-01;
30;Noord-Brabant;868;Wanroij;1970-01-01;1994-01-01
30;Noord-Brabant;869;Waspik;1970-01-01;1997-01-01
30;Noord-Brabant;870;Werkendam;1970-01-01;2019-01-01
30;Noord-Brabant;871;Westerhoven;1970-01-01;1997-01-01
30;Noord-Brabant;872;Willemstad;1970-01-01;1997-01-01
30;Noord-Brabant;873;Woensdrecht;1970-01-01;
30;Noord-Brabant;874;Woudrichem;1970-01-01;2019-01-01
30;Noord-Brabant;875;Wouw;1970-01-01;1997-01-01
30;Noord-Brabant;877;Zeeland;1970-01-01;1994-01-01
30;Noord-Brabant;878;Zevenbergen;1970-01-01;1999-01-01
30;Noord-Brabant;879;Zundert;1970-01-01;
30;Noord-Brabant;1671;Maasdonk;1993-01-01;2015-01-01
30;Noord-Brabant;1684;Cuijk;1994-01-01;
30;Noord-Brabant;1685;Landerd;1994-01-01;
30;Noord-Brabant;1691;St. Anthonis;1994-01-01;1996-01-01
30;Noord-Brabant;1702;Sint Anthonis;1996-01-01;
30;Noord-Brabant;1721;Bernheze;1996-01-01;
30;Noord-Brabant;1652;Gemert-Bakel;1997-01-01;
30;Noord-Brabant;1655;Halderberge;1997-01-01;
30;Noord-Brabant;1658;Heeze-Leende;1997-01-01;
30;Noord-Brabant;1659;Laarbeek;1997-01-01;
30;Noord-Brabant;1665;Made;1997-01-01;1999-01-01
30;Noord-Brabant;1667;Reusel-De Mierden;1997-01-01;
30;Noord-Brabant;1674;Roosendaal;1997-01-01;
30;Noord-Brabant;1723;Alphen-Chaam;1997-01-01;
30;Noord-Brabant;1728;Bladel;1997-01-01;
30;Noord-Brabant;1706;Cranendonck;1999-01-01;
30;Noord-Brabant;1709;Moerdijk;1999-01-01;
30;Noord-Brabant;1719;Drimmelen;1999-01-01;
30;Noord-Brabant;1724;Bergeijk;1999-01-01;
30;Noord-Brabant;1771;Geldrop-Mierlo;2004-01-01;
30;Noord-Brabant;1948;Meierijstad;2017-01-01;
30;Noord-Brabant;1959;Altena;2019-01-01;
31;Limburg;881;Onderbanken;1970-01-01;2019-01-01
31;Limburg;882;Landgraaf;1970-01-01;
31;Limburg;885;Arcen en Velden;1970-01-01;2010-01-01
31;Limburg;886;Baexem;1970-01-01;1991-01-01
31;Limburg;887;Beegden;1970-01-01;1991-01-01
31;Limburg;888;Beek;1970-01-01;
31;Limburg;889;Beesel;1970-01-01;
31;Limburg;890;Belfeld;1970-01-01;2001-01-01
31;Limburg;893;Bergen (L.);1970-01-01;
31;Limburg;897;Born;1970-01-01;2001-01-01
31;Limburg;898;Broekhuizen;1970-01-01;2001-01-01
31;Limburg;899;Brunssum;1970-01-01;
31;Limburg;902;Echt;1970-01-01;2003-01-01
31;Limburg;905;Eijsden;1970-01-01;2011-01-01
31;Limburg;906;Geleen;1970-01-01;2001-01-01
31;Limburg;907;Gennep;1970-01-01;
31;Limburg;909;Grathem;1970-01-01;1991-01-01
31;Limburg;912;Grubbenvorst;1970-01-01;2001-01-01
31;Limburg;913;Gulpen;1970-01-01;1999-01-01
31;Limburg;914;Haelen;1970-01-01;2007-01-01
31;Limburg;915;Heel en Panheel;1970-01-01;1991-01-01
31;Limburg;917;Heerlen;1970-01-01;
31;Limburg;918;Helden;1970-01-01;2010-01-01
31;Limburg;919;Herten;1970-01-01;1991-01-01
31;Limburg;920;Heythuysen;1970-01-01;2007-01-01
31;Limburg;922;Horn;1970-01-01;1991-01-01
31;Limburg;923;Horst;1970-01-01;2001-01-01
31;Limburg;925;Hunsel;1970-01-01;2007-01-01
31;Limburg;928;Kerkrade;1970-01-01;
31;Limburg;929;Kessel;1970-01-01;2010-01-01
31;Limburg;932;Linne;1970-01-01;1991-01-01
31;Limburg;933;Maasbracht;1970-01-01;2007-01-01
31;Limburg;934;Maasbree;1970-01-01;2010-01-01
31;Limburg;935;Maastricht;1970-01-01;
31;Limburg;936;Margraten;1970-01-01;2011-01-01
31;Limburg;938;Meerssen;1970-01-01;
31;Limburg;939;Melick en Herkenbosch;1970-01-01;1993-01-01
31;Limburg;941;Meijel;1970-01-01;2010-01-01
31;Limburg;943;Montfort;1970-01-01;1991-01-01
31;Limburg;944;Mook en Middelaar;1970-01-01;
31;Limburg;946;Nederweert;1970-01-01;
31;Limburg;947;Neer;1970-01-01;1991-01-01
31;Limburg;951;Nuth;1970-01-01;2019-01-01
31;Limburg;953;Oh‚ en Laak;1970-01-01;1991-01-01
31;Limburg;956;Posterholt;1970-01-01;1995-01-01
31;Limburg;957;Roermond;1970-01-01;
31;Limburg;958;Roggel;1970-01-01;1993-01-01
31;Limburg;962;Schinnen;1970-01-01;2019-01-01
31;Limburg;964;Sevenum;1970-01-01;2010-01-01
31;Limburg;965;Simpelveld;1970-01-01;
31;Limburg;967;Sint Odilienberg;1970-01-01;1991-01-01
31;Limburg;968;Sittard;1970-01-01;2001-01-01
31;Limburg;971;Stein;1970-01-01;
31;Limburg;972;Stevensweert;1970-01-01;1991-01-01
31;Limburg;973;Stramproy;1970-01-01;1998-01-01
31;Limburg;974;Susteren;1970-01-01;2003-01-01
31;Limburg;975;Swalmen;1970-01-01;2007-01-01
31;Limburg;976;Tegelen;1970-01-01;2001-01-01
31;Limburg;977;Thorn;1970-01-01;2007-01-01
31;Limburg;981;Vaals;1970-01-01;
31;Limburg;983;Venlo;1970-01-01;
31;Limburg;984;Venray;1970-01-01;
31;Limburg;985;Vlodrop;1970-01-01;1991-01-01
31;Limburg;986;Voerendaal;1970-01-01;
31;Limburg;988;Weert;1970-01-01;
31;Limburg;989;Wessem;1970-01-01;1991-01-01
31;Limburg;990;Wittem;1970-01-01;1999-01-01
31;Limburg;993;Meerlo-Wanssum;1970-01-01;2010-01-01
31;Limburg;994;Valkenburg aan de Geul;1970-01-01;
31;Limburg;1937;Heel;1991-01-01;2007-01-01
31;Limburg;1669;Roerdalen;1993-01-01;
31;Limburg;1670;Roggel en Neer;1993-01-01;2007-01-01
31;Limburg;1679;Ambt Montfort;1995-01-01;2007-01-01
31;Limburg;1729;Gulpen-Wittem;1999-01-01;
31;Limburg;1507;Horst aan de Maas;2001-01-01;
31;Limburg;1883;Sittard-Geleen;2001-01-01;
31;Limburg;1711;Echt-Susteren;2003-01-01;
31;Limburg;1640;Leudal;2007-01-01;
31;Limburg;1641;Maasgouw;2007-01-01;
31;Limburg;1894;Peel en Maas;2010-01-01;
31;Limburg;1903;Eijsden-Margraten;2011-01-01;
31;Limburg;1954;Beekdaelen;2019-01-01;
