bronhouder;Type;Naam;CBScode;Vervallen;opmerking
G0748;G;Bergen op Zoom;GM0748;;
G0753;G;Best;GM0753;;
G0755;G;Boekel;GM0755;;
G0756;G;Boxmeer;GM0756;;
G0757;G;Boxtel;GM0757;;
G0758;G;Breda;GM0758;;
G0762;G;Deurne;GM0762;;
G0765;G;Pekela;GM0765;;
G0766;G;Dongen;GM0766;;
G0770;G;Eersel;GM0770;;
G0772;G;Eindhoven;GM0772;;
G0777;G;Etten-Leur;GM0777;;
G0779;G;Geertruidenberg;GM0779;;
G0784;G;Gilze en Rijen;GM0784;;
G0785;G;Goirle;GM0785;;
G0786;G;Grave;GM0786;;
G0788;G;Haaren;GM0788;;
G0794;G;Helmond;GM0794;;
G0796;G;'s-Hertogenbosch;GM0796;;
G0797;G;Heusden;GM0797;;
G0798;G;Hilvarenbeek;GM0798;;
G0809;G;Loon op Zand;GM0809;;
G0815;G;Mill en Sint Hubert;GM0815;;
G0820;G;Nuenen, Gerwen en Nederwetten;GM0820;;
G0823;G;Oirschot;GM0823;;
G0824;G;Oisterwijk;GM0824;;
G0826;G;Oosterhout;GM0826;;
G0828;G;Oss;GM0828;;
G0840;G;Rucphen;GM0840;;
G0844;G;Schijndel;GM0844;TRUE;** vervallen per 01-01-2017
G0845;G;Sint-Michielsgestel;GM0845;;
G0846;G;Sint-Oedenrode;GM0846;TRUE;** vervallen per 01-01-2017
G0847;G;Someren;GM0847;;
G0848;G;Son en Breugel;GM0848;;
G0851;G;Steenbergen;GM0851;;
G0852;G;Waterland;GM0852;;
G0855;G;Tilburg;GM0855;;
G0856;G;Uden;GM0856;;
G0858;G;Valkenswaard;GM0858;;
G0860;G;Veghel;GM0860;TRUE;** vervallen per 01-01-2017
G0861;G;Veldhoven;GM0861;;
G0865;G;Vught;GM0865;;
G0866;G;Waalre;GM0866;;
G0867;G;Waalwijk;GM0867;;
G0870;G;Werkendam;GM0870;;
G0873;G;Woensdrecht;GM0873;;
G0874;G;Woudrichem;GM0874;;
G0879;G;Zundert;GM0879;;
G0880;G;Wormerland;GM0880;;
G0881;G;Onderbanken;GM0881;;
G0882;G;Landgraaf;GM0882;;
G0888;G;Beek;GM0888;;
G0889;G;Beesel;GM0889;;
G0893;G;Bergen (L.);GM0893;;
G0899;G;Brunssum;GM0899;;
G0907;G;Gennep;GM0907;;
G0917;G;Heerlen;GM0917;;
G0928;G;Kerkrade;GM0928;;
G0935;G;Maastricht;GM0935;;
G0938;G;Meerssen;GM0938;;
G0944;G;Mook en Middelaar;GM0944;;
G0946;G;Nederweert;GM0946;;
G0951;G;Nuth;GM0951;;
G0957;G;Roermond;GM0957;;
G0962;G;Schinnen;GM0962;;
G0965;G;Simpelveld;GM0965;;
G0971;G;Stein;GM0971;;
G0981;G;Vaals;GM0981;;
G0983;G;Venlo;GM0983;;
G0984;G;Venray;GM0984;;
G0986;G;Voerendaal;GM0986;;
G0988;G;Weert;GM0988;;
G0994;G;Valkenburg aan de Geul;GM0994;;
G0995;G;Lelystad;GM0995;;
G1507;G;Horst aan de Maas;GM1507;;
G1509;G;Oude IJsselstreek;GM1509;;
G1525;G;Teylingen;GM1525;;
G1581;G;Utrechtse Heuvelrug;GM1581;;
G1586;G;Oost Gelre;GM1586;;
G1598;G;Koggenland;GM1598;;
G1621;G;Lansingerland;GM1621;;
G1640;G;Leudal;GM1640;;
G1641;G;Maasgouw;GM1641;;
G1651;G;Eemsmond;GM1651;;
G1652;G;Gemert-Bakel;GM1652;;
G1655;G;Halderberge;GM1655;;
G1658;G;Heeze-Leende;GM1658;;
G1659;G;Laarbeek;GM1659;;
G1663;G;De Marne;GM1663;;
G1667;G;Reusel-De Mierden;GM1667;;
G1669;G;Roerdalen;GM1669;;
G1671;G;Maasdonk;GM1671;TRUE;** vervallen per 01-01-2015
G1672;G;Rijnwoude;GM1672;TRUE;** vervallen per 01-01-2014
G1674;G;Roosendaal;GM1674;;
G1676;G;Schouwen-Duiveland;GM1676;;
G1680;G;Aa en Hunze;GM1680;;
G1681;G;Borger-Odoorn;GM1681;;
G1684;G;Cuijk;GM1684;;
G1685;G;Landerd;GM1685;;
G1690;G;De Wolden;GM1690;;
G1695;G;Noord-Beveland;GM1695;;
G1696;G;Wijdemeren;GM1696;;
G1699;G;Noordenveld;GM1699;;
G1700;G;Twenterand;GM1700;;
G1701;G;Westerveld;GM1701;;
G1702;G;Sint Anthonis;GM1702;;
G1705;G;Lingewaard;GM1705;;
G1706;G;Cranendonck;GM1706;;
G1708;G;Steenwijkerland;GM1708;;
G1709;G;Moerdijk;GM1709;;
G1711;G;Echt-Susteren;GM1711;;
G1714;G;Sluis;GM1714;;
G1719;G;Drimmelen;GM1719;;
G1721;G;Bernheze;GM1721;;
G1722;G;Ferwerderadiel;GM1722;;
G1723;G;Alphen-Chaam;GM1723;;
G1724;G;Bergeijk;GM1724;;
G1728;G;Bladel;GM1728;;
G1729;G;Gulpen-Wittem;GM1729;;
G1730;G;Tynaarlo;GM1730;;
G1731;G;Midden-Drenthe;GM1731;;
G1734;G;Overbetuwe;GM1734;;
G1735;G;Hof van Twente;GM1735;;
G1740;G;Neder-Betuwe;GM1740;;
G1742;G;Rijssen-Holten;GM1742;;
G1771;G;Geldrop-Mierlo;GM1771;;
G1773;G;Olst-Wijhe;GM1773;;
G1774;G;Dinkelland;GM1774;;
G1783;G;Westland;GM1783;;
G1842;G;Midden-Delfland;GM1842;;
G1859;G;Berkelland;GM1859;;
G1876;G;Bronckhorst;GM1876;;
G1883;G;Sittard-Geleen;GM1883;;
G1884;G;Kaag en Braassem;GM1884;;
G1891;G;Dantumadiel;GM1891;;
G1892;G;Zuidplas;GM1892;;
G1894;G;Peel en Maas;GM1894;;
G1895;G;Oldambt;GM1895;;
G1896;G;Zwartewaterland;GM1896;;
G1900;G;Súdwest Fryslân;GM1900;;
G1901;G;Bodegraven-Reeuwijk;GM1901;;
G1903;G;Eijsden-Margraten;GM1903;;
G1904;G;Stichtse Vecht;GM1904;;
G1908;G;Menameradiel;GM1908;;
G1911;G;Hollands Kroon;GM1911;;
G1916;G;Leidschendam-Voorburg;GM1916;;
G1921;G;De Friese Meren;GM1921;TRUE;** vervallen per 01-01-2016
G1926;G;Pijnacker-Nootdorp;GM1926;;
G1955;G;Montferland;GM1955;;
G1987;G;Menterwolde;GM1987;;
G1930;G;Nissewaard;GM1930;;** toegevoegd per 01-01-2015
G1931;G;Krimpenerwaard;GM1931;;** toegevoegd per 01-01-2015
G1940;G;De Fryske Marren;GM1940;;** toegevoegd per 01-01-2016
G1942;G;Gooise Meren;GM1942;;** toegevoegd per 01-01-2016
G1945;G;Berg en Dal;GM1945;;** toegevoegd per 01-01-2016
G1948;G;Meierijstad;GM1948;;** toegevoegd per 01-01-2017
P0020;P;Groningen;20;;
P0021;P;Friesland;21;;
P0022;P;Drenthe;22;;
P0023;P;Overijssel;23;;
P0024;P;Flevoland;24;;
P0025;P;Gelderland;25;;
P0026;P;Utrecht;26;;
P0027;P;Noord-Holland;27;;
P0028;P;Zuid-Holland;28;;
P0029;P;Zeeland;29;;
P0030;P;Noord-Brabant;30;;
P0031;P;Limburg;31;;
W0151;W;Waterschap Groot Salland;0151;TRUE;** vervallen per 01-01-2016
W0152;W;Waterschap Rijn en IJssel;0152;;
W0153;W;Waterschap Veluwe;0153;TRUE;** vervallen per 01-01-2013
W0154;W;Waterschap Vallei & Eem;0154;TRUE;** vervallen per 01-01-2013
W0155;W;Hoogheemraadschap Amstel, Gooi en Vecht;0155;;
W0201;W;Waterschap Regge en Dinkel;0201;TRUE;** vervallen per 01-01-2014
W0372;W;Hoogheemraadschap van Delfland;0372;;
W0524;W;Waterschap Zeeuwse Eilanden;0524;TRUE;** vervallen per 01-01-2011
W0524;W;Waterschap Zeeuws-Vlaanderen;0524;TRUE;** vervallen per 01-01-2011
W0539;W;Waterschap De Dommel;0539;;
W0585;W;Waterschap Roer en Overmaas;0585;TRUE;** vervallen per 01-01-2017
W0621;W;Waterschap Rivierenland;0621;;
W0616;W;Hoogheemraadschap van Rijnland;0616;;
W0636;W;Hoogheemraadschap De Stichtse Rijnlanden;0636;;
W0638;W;Waterschap Peel en Maasvallei;0638;TRUE;** vervallen per 01-01-2017
W0646;W;Waterschap Hunze en Aa's;0646;;
W0647;W;Waterschap Noorderzijlvest;0647;;
W0648;W;Waterschap Reest en Wieden;0648;TRUE;** vervallen per 01-01-2016
W0649;W;Waterschap Velt en Vecht;0649;TRUE;** vervallen per 01-01-2014
W0650;W;Waterschap Zuiderzeeland;0650;;
W0651;W;Hoogheemraadschap Hollands Noorderkwartier;0651;;
W0652;W;Waterschap Brabantse Delta;0652;;
